AKT1	ATR	AURKB	BRAF	CAMK2A	CDK1	CDK2	CDK4	CDK5	CDK7	CHEK1	CHEK2	CSNK2A1	DYRK1A	DYRK2	GSK3B	LYN	MAPK1	MAPK14	MAPK8	MAPKAPK2	MARK2	MTOR	PAK1	PAK2	PLK1	PRKAA1	PRKACA	PRKCA	PRKCB	PRKCD	PRKCE	PRKCI	PRKD1	PRKG1	ROCK1	RPS6KA1	RPS6KA3	RPS6KB1	SGK1	SRC
CHEK1	0.138152974209031	0.0424167884482783	0.222859301879494	0.0456657665114369	-0.0175269671511859	-0.0498365465129978	0.000825720987686045	0.0447946630454748	-0.000628783014788512	0.00508886308357173	1	0.257545795505773	-0.0323254567566148	-0.125737428089305	-0.0696093133782944	0.0341519792773849	0.00296748841906788	0.153467348569537	0.0105224646165774	0.066182447709116	0.0661220870733872	0.0151042344911678	-0.0443138374349221	0.000588934226796907	0.0209898755041699	0.135133996646421	-0.0304220168605338	-0.0237504217012099	-0.0129267123302412	0.0583044784363577	-0.0181170672060008	0.0195992006148183	-0.0363360074395115	0.0233695767489252	-0.0119159092508467	0.0164848016461908	-0.0060047418295238	-0.055890249764759	-0.0331399747971224	0.0255065408203957	-0.0193266014941503
CHEK2	-0.0290669400196297	0.0221491283136046	-0.033015757677922	0.0260661636300628	-0.0667616469269899	0.00208771709176602	-0.0239690699043785	-0.0536473333594317	-0.0116321614928007	0.0672467574012454	0.257545795505773	1	0.0710852923778198	-0.0134862953762085	0.0920375219323797	-0.013069750109605	-0.0161101221542193	-0.0861442061982503	0.0538128291743203	0.0155604432747953	0.0599844028433812	-0.00876111880628696	-0.0435774863295886	-0.0507381870168405	-0.00436630835688426	0.0972175108035007	0.0396397064468614	9.02589247532407e-05	0.0182945618635475	0.0338968000808271	-0.000516206857509773	0.00933968518918401	0.0409154561296036	0.000519099354617308	0.185573617895917	-0.0964085204228808	0.0561680024145113	0.0572913971110388	-0.00813918093647877	-0.10879408926772	-0.0491404975750721
CSNK2A1	-0.0548200520472702	0.0342726932837489	-0.0686176419474034	-0.010061675143083	0.0956286737646705	0.0432928417652177	0.034645607557674	-0.023069473104897	-0.0363161261161469	0.133362252027301	-0.0323254567566148	0.0710852923778197	1	0.0999199458065126	0.1063294498856	0.0266920964666915	0.149780913811315	-0.0718734083932429	-0.0486002198622536	0.051695658487914	-0.0605562254570318	0.0332745341307446	0.0842486570354432	-0.000773588018337503	0.0174720932249535	0.0950758374278978	0.00171923237930402	0.059392327867239	-0.0439863552914341	-0.00366329268619755	-0.0710129639535395	-0.0326270934271327	-0.0594921792988583	0.0433814597028945	0.0166461751240209	-0.00505941695614937	0.0881843267128865	0.0336529961480642	-0.0479385840964089	0.0103126666319998	-0.111666075203537
DYRK1A	0.0535419842083606	0.0139489111713193	-0.0257821186102216	-0.0379439742528652	-0.0745389625487544	-0.059962113931133	0.0466865160833414	0.0852734269941651	-0.0152649759170119	-0.158342535570505	-0.125737428089305	-0.0134862953762085	0.0999199458065125	1	-0.111731765415535	0.0198686165494739	0.0116447516010508	0.107921952912477	0.0280620897425559	0.0719156705951778	-0.0294454488621926	0.0749987992057758	-0.00703818489844331	0.118336839744536	0.00168502469267817	-0.048768402578286	0.0221556723978397	-0.0385948241728413	0.0431725541358343	0.0817832904480194	0.018801932182698	-0.0114461947397189	-0.00819029979090008	0.0246534504440306	0.109533187011585	0.0845758150813382	-0.0260564789588871	0.0183323283169952	0.0206592592259585	-0.0334011851320911	-0.0358718122744549
DYRK2	0.0494441492356828	-0.0315895366751574	-0.051326209037236	-0.000535305848728066	0.0107178677643028	-0.0300116391978384	-0.0491461338403935	0.12332800640725	0.0681142670574799	0.0603482358081801	-0.0696093133782944	0.0920375219323797	0.1063294498856	-0.111731765415535	1	0.0168278738479176	-0.0449205454197009	0.186110455283494	-0.00222044488678443	-0.0857939458046456	0.0519582645390003	0.00765883798260011	0.0964197541801418	0.105909239504627	0.0332225046124352	-0.0107188461598603	0.0663329267051494	0.0693354921094622	-0.0877485106175342	-0.0227187777495309	0.119577377328834	0.00677076484932785	0.0140755241028672	-0.0357916515188831	-0.0543819466572949	0.0199881442033634	-0.0331090851709375	-0.0575903744994701	-0.0299835817058669	0.0578314523499725	0.0598509369933987
GSK3B	-0.000140167558988151	-0.0280971188610794	-0.0564709293003581	-0.0383151549190418	0.0491001355456691	0.0655759771951946	-0.0336824906710081	-0.0773699268644399	0.0414865317188809	0.116402042112965	0.0341519792773849	-0.013069750109605	0.0266920964666915	0.0198686165494739	0.0168278738479176	1	-0.0434241912945714	0.0229227036495189	-0.00966581658609312	-0.0767144372655227	-0.0469894483336604	-0.0546107518660518	0.0914724548337867	0.00287740286278101	0.0711476072565269	-0.070572722498384	-0.0497942855585374	0.00261207072404875	0.0785807136627523	-0.0299483756392028	-0.0815033860123824	0.0343179467388202	0.0137245877223383	0.0299186588369328	0.00564505019040324	0.0378276198402579	0.0516793008379643	0.000264712345170209	-0.0358100814034689	-0.0419253976655556	0.0195322629907845
LYN	0.0900432192986235	0.0795870422638526	0.0974332928684591	0.0407654060872211	0.0747886288552509	0.027274334773355	-0.034044602039862	-0.0394844076747016	0.0434150029594837	-0.00452279903750804	0.00296748841906789	-0.0161101221542192	0.149780913811315	0.0116447516010508	-0.0449205454197009	-0.0434241912945714	1	0.0162816297650089	0.096898023381737	0.0587521392938266	0.0348095857231626	-0.0355813004642346	0.0705781699260979	0.0730645777268348	0.0173393951849775	-0.0584093629562041	0.0207871283786418	-0.0812414025473893	0.0346180440303612	-0.0428075585504621	0.0232429456672785	-0.013185568432414	-0.0156666906654078	-0.0823194974872488	-0.0134115126600405	0.0525385030087066	-0.059739492259745	-0.0418996440377698	-0.0248448083116124	0.108392066304071	0.569273850855546
MAPK1	-0.0244694450177787	0.0063763899223215	-0.112361061825424	-0.0476026767261895	-0.0409647719148833	0.157157656896985	0.0424219842376744	-0.0677444936407139	-0.0547374275206136	-0.0874935275171331	0.153467348569537	-0.0861442061982503	-0.0718734083932429	0.107921952912478	0.186110455283494	0.0229227036495189	0.016281629765009	1	0.0747092980714338	0.102591916881364	0.0240367670558646	0.000519383898523268	0.0928767304581169	-0.0465246713667486	-0.017865131719862	0.0169151670875008	-0.0549840198699314	0.00302782583725181	-0.0436538226502884	0.0576207780586214	0.00146164489717758	0.014882425659845	-0.00887309956216635	-0.0370284948518772	-0.0419295354809111	-0.00768874270573081	0.023579127185113	0.107624701386462	0.0409517431411725	-0.0539966100146379	-0.0819501569282338
MAPK14	0.0411062663206503	-0.0192844596855603	-0.0143739173220061	0.0103669772193411	0.00241221062080779	-0.0310091568559032	-0.0227647905340531	0.0355219868212785	0.0710886377517568	-0.0329709432190875	0.0105224646165774	0.0538128291743203	-0.0486002198622536	0.0280620897425559	-0.00222044488678443	-0.00966581658609311	0.096898023381737	0.0747092980714337	1	0.0841989718368916	0.0196604898718493	0.00408419229161225	0.0334461914943982	-0.0173476843440223	-0.0533572069510807	0.0102505329842928	0.0908224833406317	-0.0635648559553008	0.0243982562386547	0.10170571573269	0.0576602338620504	0.0761893543947712	-0.0967018409304258	-0.0367853512833367	-0.0604725728282792	0.0742669178857003	-0.0616015203093651	0.02439347500502	-0.0417520759212871	-0.00785001434606745	-0.0755864211532977
MAPK8	-0.00326308566839384	0.0179411593146896	-0.0498530203653636	0.0015754222924885	-0.0139120252508179	-0.0151874781052563	-0.00858805244334364	0.00292588059583565	-0.0131413699508576	0.113587168376408	0.066182447709116	0.0155604432747953	0.051695658487914	0.0719156705951778	-0.0857939458046456	-0.0767144372655228	0.0587521392938266	0.102591916881364	0.0841989718368917	1	0.0395516799641452	-0.0744180334795884	0.0648887864132664	0.0141573851071065	0.00843655762644086	0.0139013134677175	-0.078124444618376	-0.0623148714230067	-0.0479266079281939	0.106292100403669	0.0145726075390532	0.0410000986656391	0.0176222740252751	0.00919047092325368	0.0864308828061271	-0.092307755382972	0.0989315267945968	0.0949764627284714	0.00529096509439963	-0.0311051861657788	-0.00916434769476009
