AKT1	ATR	AURKB	BRAF	CAMK2A	CDK1	CDK2	CDK4	CDK5	CDK7	CHEK1	CHEK2	CSNK2A1	DYRK1A	DYRK2	GSK3B	LYN	MAPK1	MAPK14	MAPK8	MAPKAPK2	MARK2	MTOR	PAK1	PAK2	PLK1	PRKAA1	PRKACA	PRKCA	PRKCB	PRKCD	PRKCE	PRKCI	PRKD1	PRKG1	ROCK1	RPS6KA1	RPS6KA3	RPS6KB1	SGK1	SRC
MARK2	0.337917444071221	0.864693305241206	0.364242964500662	0.00543884810985298	0.0872937138488466	0.0459609644512122	0.193907513649999	0.022580624096439	0.0697189067257528	0.347541655953793	0.71380843276043	0.831544768691699	0.419023223270908	0.0682259467064681	0.85247891736925	0.184535501097141	0.387492144937208	0.989938585404449	0.921008794023958	0.0703964191307019	0.786378228028564	0	0.170302028106343	0.076945051178858	0.0190001949220409	0.191477231640876	0.169073782785716	0.866095954327492	0.26858731259491	0.177742367598444	0.732235519984507	0.214955239342097	0.164710026323795	0.000750498675216016	0.218225449928387	0.972705526745106	0.834694390096083	0.649573269429762	0.000288667878926613	0.375072303668513	0.370860668397354
MTOR	0.786149603922233	0.432526699988723	0.303993271070956	0.323103506930333	0.631293211589311	0.21050295147937	0.0187691833439957	0.826411186361126	0.0807649307039354	0.545274794182853	0.281725061070513	0.289805706487789	0.0404454869457626	0.86431292563678	0.0189504180005334	0.0260420255172743	0.0862075152395781	0.0238275350005076	0.416626237042059	0.114763806318315	0.824489439220516	0.170302028106344	0	0.29664654954268	0.055944071261096	0.994473710102304	0.995148761486138	0.452863125809511	0.395167052245258	0.984696004011432	0.635504816857151	0.439584000360942	0.693960726104303	0.14690734572855	0.221949865521539	0.435452284257806	0.968476981184939	0.0837403422276824	0.114779393890495	0.0132561183306484	0.655289206751217
PAK1	0.574892391763311	0.0259188740914674	0.05056696886273	6.96353197182069e-07	0.0614721707766851	0.794529846280344	0.609928525743014	0.110216464548901	0.0711416798996865	0.881106958269705	0.98859135471704	0.217688369119157	0.985014670061517	0.00393518327357435	0.00991749848208213	0.944303173736992	0.0756743644377964	0.258386201959402	0.673589347173951	0.731031871586902	0.0337992490695204	0.076945051178858	0.29664654954268	0	0.867623662472278	0.0003790083283561	0.600698230242208	0.0102068830662949	0.245119635016973	7.84367127693403e-06	0.844724532486434	0.459043445622461	0.484015895392689	0.118125857481311	0.858205235152914	0.276127468989063	0.98716600681379	0.52561661826634	0.748481366882678	0.148636819646606	0.412560876668328
PAK2	0.141076659366476	0.116024773922369	0.498567073454259	0.413832199368252	0.00376536799710022	0.509983588669331	0.414491912714325	0.748736034695032	0.36731702412917	0.272777328043704	0.610273936879562	0.915572167243725	0.671384764972051	0.967366212310988	0.419751347136915	0.0836964660495454	0.673736334546677	0.664438527349471	0.194831989318213	0.837697052254648	6.53395596949529e-06	0.0190001949220409	0.0559440712610962	0.867623662472278	0	0.123948729009838	0.874796923082858	0.784685700543151	0.000913219076909427	0.903657191699321	0.893019505482936	0.0789572655372896	0.227976120995222	0.0134444239696948	0.874441369195414	0.00237160258091447	0.0105924842056053	0.00311314427164709	0.0126218544209234	0.573541312903419	0.170535759288587
PLK1	0.00396686889484148	0.443381070849609	0.639142038071043	0.168548243096079	0.426798860455622	0.0758126500423757	0.357810259210436	0.0429364897353329	0.8642996714654	0.0929367421987386	0.000980253386341322	0.0179808873788152	0.0206869932565444	0.236103019644803	0.794665502866576	0.086231826700042	0.155791339196079	0.681275434575349	0.80344924310668	0.735713636614344	0.494813959821768	0.191477231640876	0.994473710102304	0.0003790083283561	0.123948729009838	0	0.000813019327933942	0.78394981362062	0.0587291517148153	0.472576351906651	0.669581822365359	0.851316356108792	0.725299169294925	0.214235335607942	0.418654206258628	0.344273524389326	0.438867886656502	0.306864501323279	0.39183530490218	0.0821665591750485	0.506570046615366
PRKAA1	0.0155761959578434	0.0846821793029045	0.951686711201126	0.927150303572887	0.0145322664234625	0.113501968447866	0.370561138518167	0.478107811807175	0.175394881383853	0.0623933553294534	0.460024694789539	0.335640034424616	0.966704093679002	0.590578796328942	0.106893472347782	0.226379777854298	0.613728654773801	0.181548551752596	0.0271256879814639	0.0574676988684918	0.771781083526417	0.169073782785716	0.995148761486138	0.600698230242208	0.874796923082858	0.000813019327933943	0	0.0973309897985177	0.318059561688167	0.103323821375399	0.194548947813835	0.484543551380498	0.213142422697281	0.2815284379461	0.189402274269231	0.054998024673242	0.347820084062272	0.28791253209945	0.034696818607339	0.480514167533217	0.930868962350198
PRKACA	0.000346131661831022	0.339893844601725	0.314317562618817	0.108569026636045	0.994114112203961	0.564457550868147	0.216233803933193	0.234282207958409	0.13322723615271	0.510181524721182	0.564120039420211	0.998251474972012	0.148936611371559	0.348544016752687	0.091898198386126	0.949431896761025	0.0481799602097042	0.941396589967189	0.122372028293581	0.12991077658818	0.0689628758328341	0.866095954327493	0.452863125809511	0.0102068830662949	0.78468570054315	0.783949813620621	0.0973309897985178	0	0.00199811322422798	0.768302761005811	0.0690455872565394	0.718561592790131	0.0669097757663887	0.394884215115178	0.000108400772467514	0.355513144169853	0.00127565099615987	0.241589655753043	0.0312849913741178	0.199791083310256	0.0499877300755326
PRKCA	1.41629316747067e-05	0.196978254062482	0.206296452059716	0.0568137761535631	0.281028221800072	0.177455490679949	0.298978012605922	0.195369938560294	0.619099963986078	0.621571854846322	0.753620651282552	0.656881879740726	0.285299798217989	0.294315090760744	0.0327920741181303	0.0560218151340513	0.400479507680231	0.288960839870589	0.553536759995617	0.244298719202083	0.675524592005883	0.26858731259491	0.395167052245258	0.245119635016973	0.000913219076909423	0.0587291517148153	0.318059561688166	0.00199811322422797	0	0.406907343491539	0.0374558236029389	0.0749305735487326	0.205377131401459	0.700645994450389	0.000994127500096242	0.822308994643833	0.763081376409079	0.483133094928509	0.818040162954835	0.0705248971321433	0.774678588987541
PRKCB	0.472040038756466	0.88864238067251	0.271885315661352	0.297027330403046	0.0231758089488051	0.00649305471982094	0.445827240694645	0.103149657713913	0.287303244887133	0.152115819485907	0.156536627987263	0.410372551658149	0.929126675208081	0.0467011474018284	0.581171300958312	0.467043123818513	0.298419735159023	0.161461099895385	0.0132938222895601	0.00965160202485835	0.503933118966984	0.177742367598445	0.984696004011432	7.84367127693395e-06	0.903657191699321	0.472576351906651	0.103323821375399	0.768302761005811	0.40690734349154	0	0.00478646351408773	0.111335692475281	0.580357112845441	0.31413030851293	0.383334941542715	0.955233372803871	0.248515831338361	0.327034267944597	0.0251750183574653	0.0528433885885592	0.0411110833673286
PRKCD	0.580252725059975	0.438248696452016	0.629375890015275	0.0154943221744399	0.119097127728125	0.912107752171448	0.678617400114887	0.249604874480056	0.494787680736227	0.683498057161246	0.660001052571923	0.990000127266481	0.0842848050792715	0.647998673079031	0.00357110106800865	0.047460178706869	0.572477675513344	0.971690447828419	0.161173776816979	0.723461611124141	0.0519991812938959	0.732235519984507	0.635504816857151	0.844724532486435	0.893019505482936	0.669581822365359	0.194548947813834	0.0690455872565394	0.0374558236029387	0.00478646351408771	0	0.0286530967662352	0.861421271524584	0.954559252821558	0.0943576473323912	0.507379299308345	0.409614040878453	1.23037099518763e-07	8.49073879803895e-05	0.566690852773908	0.345742809165889
