gena	genb	mut.info
245	AKT1	PIM1	-0.00851854705490585
246	AKT1	PLK1	-0.0172263310800842
247	AKT1	PLK3	0.0697662562069894
248	AKT1	PRKAA1	0.0294777781614046
249	AKT1	PRKACA	0.00276716064131666
250	AKT1	PRKCA	0.139700497178396
251	AKT1	PRKCB	-0.00514234091808774
252	AKT1	PRKCD	0.0875629518120631
253	AKT1	PRKCE	0.0629888743598839
254	AKT1	PRKCI	0.0120922001440293
255	AKT1	PRKCQ	0.0492640512387412
256	AKT1	PRKCZ	0.0316448649283485
257	AKT1	PRKD1	-0.0327155975984397
258	AKT1	PRKG1	0.0627293147933647
259	AKT1	RET	0.048785560539871
260	AKT1	ROCK1	-0.0110155674461669
261	AKT1	RPS6KA1	0.15504206560672
262	AKT1	RPS6KA3	0.0712830944651612
263	AKT1	RPS6KA5	-0.0146273932246741
264	AKT1	RPS6KB1	0.0736878742271978
265	AKT1	SGK1	0.0335864774826966
266	AKT1	SRC	0.00790191302598586
267	AKT1	STK11	0.0250168956344057
268	AKT1	STK4	0.0372386421172619
269	AKT1	SYK	0.0249880988497928
270	AKT1	TBK1	0.0430193583888956
271	AKT1	TTK	0.00624513037957364
272	AKT1	ULK1	0.0350675051486702
273	AKT1	VRK1	0.0824736909723711
274	ATM	ATR	0.0994871323790525
275	ATM	AURKA	0.09541121960065
276	ATM	AURKB	-0.00282760105483337
277	ATM	BMX	0.0168501913343704
278	ATM	BRAF	-0.019756337220536
279	ATM	BTK	-0.00829891464980381
280	ATM	CAMK1	-0.0278415792599835
281	ATM	CAMK2A	-0.0150406848647533
282	ATM	CAMK2D	0.0498124677154719
283	ATM	CDC7	-0.00872278170175989
284	ATM	CDK1	0.0847790196887397
285	ATM	CDK2	0.0694426213387125
286	ATM	CDK4	0.023931664329802
287	ATM	CDK5	-0.00823217688675548
288	ATM	CDK7	0.0307252474286166
289	ATM	CDK9	0.0560127755681465
290	ATM	CHEK1	0.00218160059482919
291	ATM	CHEK2	0.00548295350418471
292	ATM	CHUK	0.00105755096143412
293	ATM	CSNK1A1	-0.0430063234223841
294	ATM	CSNK1D	-0.00103916672792881
295	ATM	CSNK2A1	-0.0236264665085102
296	ATM	DAPK1	0.0287556743783455
297	ATM	DYRK1A	-0.0145844994494695
298	ATM	DYRK2	-0.0199535827559458
299	ATM	EGFR	-0.020273238821261
300	ATM	ERBB2	0.0418929913454464
301	ATM	FER	0.0451216491838577
302	ATM	FYN	-0.0555578979677085
303	ATM	GRK4	-0.0107680073085854
