PAK2	PDGFRB	1.72971103253e-19
BRAF	MARK2	2.33199645284e-19
RPS6KB1	ROCK1	4.28654740979e-16
FER	LCK	7.33337631235e-24
CDK4	PLK3	6.15854923813e-21
NEK6	MAP3K8	1.29080446117e-27
MAPK14	LYN	8.144125675e-18
PRKCI	AURKA	4.30656718977e-20
CDK2	PRKCE	7.34383981675e-16
PAK4	MET	1.67737903619e-19
MAP3K8	PRKCB	5.29661007665e-20
CSNK1A1	VRK1	5.97801724967e-18
SYK	MELK	2.24682656795e-18
PRKAA1	ATR	2.56704348368e-14
PRKG1	PRKCI	5.13223679651e-18
RPS6KB1	AURKB	5.24329623761e-18
PRKCZ	CDK5	6.94865372382e-18
CHUK	SRC	2.75440707474e-15
FYN	SRC	1.29327720803e-16
CDK9	CDC7	2.99433904668e-20
PRKG1	CDK5	3.81927944599e-20
MAP3K5	DAPK1	3.64342785019e-18
CHEK1	AKT1	3.77861052524e-17
DAPK1	PLK3	5.17923060061e-23
CHEK2	MAP3K7	1.36547845102e-15
CDK5	CDK1	5.63805229746e-18
PDPK1	PAK1	6.08840946053e-14
IRAK1	MAP2K1	1.38263781111e-22
TTK	CDK5	2.49852297193e-18
ATM	PRKAA1	7.64413000084e-17
MAPK14	PRKAA1	9.71241626459e-16
LATS1	JAK2	2.16387563242e-28
PDPK1	MAP3K7	1.49534347918e-17
PIM1	CSNK2A1	2.05873421105e-22
GRK4	PRKCD	2.82066278957e-22
PIM1	CDK2	4.41808476984e-18
FER	PAK1	5.30450895415e-21
PLK1	MAPKAPK2	1.7460092872e-18
VRK1	MAPK11	3.96685658952e-22
PRKCZ	JAK2	8.35375138313e-17
ERBB2	AURKA	1.03369219509e-24
MARK2	ROCK1	1.50900105975e-19
CDK7	CDK4	4.42544161138e-14
ULK1	MAPK14	6.50396926311e-20
MAPK11	CDK1	6.24800393378e-17
MAPK14	PLK3	2.41277549456e-19
INSR	NEK6	1.55078457511e-20
FYN	MAP3K5	5.95493365421e-17
ABL1	CAMK1	7.45835435661e-19
PAK4	CDK2	3.1111855982e-23
TBK1	ATM	2.95178512828e-15
ULK1	PLK3	7.12553944729e-21
CAMK2A	BMX	3.92992606124e-15
MAP2K1	MELK	6.27844207876e-23
CDK5	CSNK2A1	2.39261212864e-15
MARK2	CSNK1D	5.72840187549e-20
MET	RPS6KB1	1.24059736214e-19
PRKCZ	PRKACA	1.1021547607e-16
NEK6	AURKB	7.65901025918e-21
GSK3B	RPS6KA3	3.11402898979e-16
MAPKAPK2	CDK4	2.10626469718e-20
MAP2K4	PAK2	1.31410134606e-21
DYRK2	STK11	3.11112021836e-21
BMX	ABL1	1.42983817768e-21
MTOR	PRKCE	1.35018458128e-15
VRK1	PRKCZ	5.2297359579e-23
MAPK11	CHEK2	7.46025060098e-18
PRKCI	FER	1.75840045993e-18
CDK9	LYN	4.45339119286e-20
CDC7	SYK	1.19684957719e-20
LYN	MAPKAPK2	1.12262153613e-20
MTOR	PAK2	3.35983212834e-17
PRKCE	PAK4	3.24084630028e-16
SGK1	ATR	1.1036070411e-19
MAPK11	MELK	7.1606466757e-19
BRAF	CDK2	5.46782141538e-23
PAK2	SRC	4.8504889854e-19
CAMK1	FYN	1.49071308731e-28
DYRK2	PIM1	4.79181534578e-23
JAK2	MTOR	1.01237781735e-18
PRKCA	ADRBK1	9.07528619077e-17
RET	NEK6	3.74100307871e-19
CAMK2D	MELK	7.07868019161e-22
MAP2K1	ATM	1.19120951998e-23
STK4	PRKCD	1.41186815439e-18
SGK1	ADRBK1	1.43743789107e-23
PAK4	ROCK1	3.38174516361e-20
BTK	LCK	1.61744207695e-21
PRKCI	ERBB2	1.97415760174e-17
STK11	PRKAA1	8.77647271448e-10
MAPK8	MAP3K7	9.10673799212e-17
ROCK1	ATM	9.6121809708e-18
CAMK2A	PRKCE	6.17730042746e-17
AURKB	MAP2K4	2.82367247249e-17
STK4	ABL1	1.52895587045e-14
ULK1	PRKCD	7.12073232544e-17
PLK3	MTOR	6.72700317516e-18
CSNK2A1	STK4	1.31794424071e-14
ULK1	MAPKAPK2	2.36519167301e-21
ADRBK1	ATM	1.61037591283e-16
PRKCI	SGK1	1.30429050135e-18
PRKCA	DYRK2	6.34810364566e-18
PRKCA	PIM1	4.8272207843e-18
PDGFRB	PRKCB	2.59536098093e-18
PRKCD	AURKB	4.8763895993e-18
AKT1	CSNK1A1	1.70325422482e-15
VRK1	CHEK2	7.69779821939e-20
ABL1	MAPKAPK2	1.73865176074e-19
RPS6KA5	MAP3K8	1.9995878906e-21
CAMK2A	RET	1.68232881821e-16
PRKCQ	PRKCE	8.45150402428e-19
MET	MAPK14	8.30873925111e-23
SGK1	RPS6KA1	1.68239361702e-20
RPS6KA1	ATR	6.76022223614e-14
PRKCB	GRK4	2.27995889358e-18
ATM	STK11	3.91284389783e-18
AURKB	SGK1	7.15608546969e-19
PRKAA1	DYRK1A	6.09847928227e-19
TTK	MET	1.94829297701e-17
MAP3K5	CDK7	6.57738293789e-19
PAK1	CHEK1	2.47008798807e-16
STK11	MTOR	4.64564944155e-20
PRKCQ	CHEK1	2.00821254806e-17
MAPK11	PRKG1	2.14901863837e-18
PRKCQ	IRAK1	4.96861745307e-18
FYN	ABL1	1.82398962177e-16
INSR	PRKCZ	1.21443410087e-17
VRK1	RPS6KA3	3.87367676409e-22
CSNK2A1	BTK	2.87268503966e-18
IKBKB	PDPK1	3.30461659046e-15
CHUK	PRKACA	1.29256328154e-18
MAP2K1	CDK4	2.63779864233e-27
DYRK2	AURKA	3.99548673344e-18
CHEK2	DAPK1	4.74400103296e-17
PAK4	RET	6.68550697917e-24
CDC7	MAPK14	6.31998140395e-18
BTK	CSNK1A1	1.90012111501e-21
ABL1	MARK2	1.87157308511e-17
PLK1	BMX	6.8707692025e-16
ATM	CAMK2A	2.07583508647e-17
BMX	FER	4.8281456005e-17
MAPK1	BMX	1.4715679129e-18
MAP3K8	CSNK2A1	4.77113381666e-23
MTOR	PDGFRB	3.07666303129e-18
BTK	CAMK1	4.06923961434e-20
FYN	SGK1	6.83862659625e-20
HCK	MAP3K7	9.89086175931e-18
VRK1	AURKA	4.63886990652e-21
CDK4	INSR	1.75059796221e-18
PRKCI	IRAK1	1.32295959131e-17
PRKD1	GSK3B	2.25365853314e-17
NEK6	SGK1	5.78815666437e-12
RPS6KA1	TTK	1.65361380464e-17
PAK2	CAMK2D	1.35335114435e-18
CAMK2A	TBK1	4.59492459325e-17
PRKCA	CAMK2D	1.56747215229e-17
PRKCD	MAP2K1	6.33629479139e-16
MAPK7	PRKCB	4.46294734415e-19
PRKAA1	ULK1	6.8510291185e-15
MAPK11	EGFR	7.14280928087e-15
MTOR	IKBKB	2.89024092847e-16
PRKCA	PAK4	3.52499316591e-16
STK4	MAP3K8	1.0930014432e-19
STK11	MELK	3.91084729998e-12
CDC7	RPS6KA5	1.55944015674e-17
PRKD1	MAP3K8	1.07226747807e-16
CAMK2A	PLK1	4.82952893134e-17
RPS6KA1	NEK6	9.83992807317e-20
BRAF	RET	2.50415268331e-18
ADRBK1	MET	2.4385617315e-17
ERBB2	NEK6	1.94850978774e-22
MAPK14	ULK1	8.51789998225e-16
EGFR	CSNK1A1	2.50451100738e-18
TTK	AURKB	9.55117157912e-18
LATS1	MAPK1	4.65851511152e-26
PRKCB	DYRK1A	9.32337029641e-18
PRKCI	MAPK8	6.71439529485e-20
CSNK2A1	CAMK2D	6.91471793894e-16
CDK1	MAP2K4	9.51318941853e-16
ABL1	CDK5	1.2119001942e-17
SRC	MTOR	6.01616670702e-17
DYRK2	CDK5	2.48186386408e-21
CDK9	MAPKAPK2	4.21782890626e-16
MARK2	MAP2K4	2.3533947125e-22
SGK1	PRKACA	6.10029691666e-20
ATM	MAP3K8	4.72471895009e-18
CHEK1	RPS6KA5	7.03637124212e-17
PAK1	FYN	2.33661001448e-18
CDK9	RET	7.92162862935e-19
PRKCB	TBK1	1.98136889301e-17
PAK4	PRKG1	9.9828226347e-24
MAPK14	PRKCD	2.96197168924e-17
TBK1	PDGFRB	8.83456308396e-19
PAK4	PAK2	6.27799118229e-18
PRKAA1	DYRK2	2.65286422223e-18
MAP3K7	ADRBK1	3.22503271096e-18
NEK6	AURKA	3.28628909354e-18
PDGFRB	FER	3.04328736734e-20
GRK4	SYK	7.15717647289e-23
CSNK1A1	TTK	4.35864903489e-16
GSK3B	MAP3K5	2.43391977397e-16
CHEK1	PRKCD	2.47133358753e-15
PRKCD	PRKCB	1.06214499969e-17
DYRK2	CHEK1	3.94201580257e-17
PRKCA	DYRK1A	1.26556321439e-18
CAMK2D	CDK2	5.57099923926e-21
MTOR	CSNK1D	4.3706277282e-17
CSNK1A1	CAMK1	3.66713240918e-17
LYN	ABL1	6.55641795241e-16
BRAF	MAP3K5	8.24650537873e-17
PRKCA	MAP3K8	1.20459747443e-17
ROCK1	PDPK1	8.22791997951e-16
PRKCA	FER	1.92122294192e-17
ADRBK1	PRKCQ	9.62076595897e-19
PRKCB	PAK4	3.2456975077e-17
MTOR	MAP3K8	5.32779880187e-18
SRC	CDK2	2.94246287082e-16
MAP2K4	PRKAA1	1.54589280976e-23
MAP3K8	RPS6KA3	1.99801176662e-15
MAP2K4	PDGFRB	4.38824262515e-25
MAPK7	CSNK1D	5.26412554838e-20
PDPK1	CHEK2	4.79257678939e-16
RPS6KA5	VRK1	2.37784967829e-21
DYRK2	TBK1	4.58311306259e-15
AKT1	JAK2	1.6643481103e-18
ATM	ATR	1.86939298226e-16
MAPK14	ATR	1.46968649555e-16
PLK1	RPS6KA5	5.89648806153e-16
PRKCZ	CSNK1D	3.18812029937e-17
RPS6KA3	PRKCE	1.60528663504e-16
CDK7	GRK4	2.3156221407e-18
DYRK1A	TBK1	1.97317376841e-18
PRKCI	INSR	3.44825221981e-16
IKBKB	RPS6KA1	1.05216895784e-16
PRKCA	DAPK1	8.76663271301e-16
DAPK1	CDK9	2.42685672092e-20
CHEK2	INSR	1.31712942324e-17
MARK2	PDPK1	6.96699456674e-19
LCK	PRKD1	2.62217174373e-18
MTOR	LCK	1.43625989274e-16
PRKACA	PIM1	8.13472090321e-18
CAMK1	SYK	5.63363036906e-24
BTK	MAPK1	9.19607389802e-23
BMX	MAPK14	2.85663038241e-24
DYRK1A	DAPK1	1.63211920084e-18
JAK2	EGFR	1.24366006984e-17
AURKB	MAPK14	5.03842584833e-18
PDGFRB	CAMK1	7.69155160166e-24
ABL1	PRKCI	3.15809183933e-17
FYN	MARK2	1.64835374184e-17
PLK3	PRKCA	1.97998805188e-18
FER	MET	7.52904657277e-13
MAP3K7	PAK1	4.07417601676e-16
PDGFRB	ROCK1	3.41680562383e-19
RPS6KA3	AKT1	8.72031272471e-18
ATM	RPS6KB1	2.48083001385e-17
PRKCD	PRKCI	3.4920870643e-18
BMX	PAK4	6.3280300738e-24
INSR	CDK9	3.32488959643e-19
RPS6KA5	CDK1	8.52955245301e-24
ROCK1	PRKCE	4.25120357845e-18
ERBB2	PAK1	7.45642234922e-20
HCK	PRKD1	1.19933679639e-21
MAPK7	MAPK11	8.35851616642e-23
DYRK2	ADRBK1	3.07256893487e-20
ERBB2	PDPK1	4.62790559685e-18
AKT1	PRKCI	6.69708801585e-18
IRAK1	STK11	6.40024835092e-25
MAPK11	TBK1	4.85514260397e-18
RPS6KA5	SRC	2.15955213173e-20
PRKACA	MAP3K5	1.13169523689e-15
PRKCQ	ATR	4.53346550819e-16
CHUK	GRK4	1.43491540124e-20
ROCK1	AURKB	4.64299551216e-19
CDK4	MAP2K4	7.55571523652e-17
CHEK1	PRKD1	1.62471353387e-15
JAK2	AURKB	1.70074737077e-16
MAP3K7	IKBKB	8.14683563033e-19
PRKACA	PRKCI	7.38090637208e-17
PRKCB	ERBB2	7.8980660207e-17
PAK4	RPS6KA1	3.96415148839e-23
PRKCD	CSNK1D	8.57686285878e-17
PAK4	MAP3K8	1.32982735263e-23
AKT1	ROCK1	2.31230729426e-16
PRKACA	VRK1	6.9799768465e-17
MAPK1	JAK2	2.98474154288e-15
DAPK1	ABL1	3.43030017167e-16
TBK1	CSNK1A1	2.20540431006e-17
RPS6KA3	PAK4	5.43027755134e-16
PRKCI	AURKB	7.43017768286e-20
CDK2	PRKCD	5.13512029781e-18
CDC7	IRAK1	2.596996076e-16
MAP3K8	PRKCA	7.47885430188e-20
PDGFRB	MAP3K5	1.37789215709e-16
MAPK11	DAPK1	8.99702339391e-19
STK11	ATR	1.14219225862e-19
TTK	DYRK2	1.7319763991e-18
PRKCZ	CDK4	1.76783712102e-21
PRKACA	IRAK1	9.93790098351e-17
MAPK8	LATS1	1.51218528661e-15
MELK	RPS6KA5	8.56656339634e-19
STK4	RPS6KB1	1.14125753394e-20
STK4	PRKCZ	4.07568569706e-19
IRAK1	FYN	8.16272628024e-22
GRK4	ROCK1	4.48306838547e-20
MAP3K7	PIM1	2.43543205126e-17
STK4	STK11	2.45799689077e-19
FYN	LCK	1.79974958243e-16
PRKCZ	DYRK1A	2.90807340383e-17
FER	PRKCE	1.00916255293e-21
CDK4	BRAF	4.32828781258e-17
HCK	ABL1	2.72343234603e-13
AURKB	CSNK1A1	1.15761798397e-16
MAPK11	BTK	2.69683827267e-19
LATS1	PRKCB	1.09770907061e-23
BRAF	CAMK2A	1.70858825305e-24
RPS6KA3	CDK9	7.0381973885e-16
FER	PAK2	1.84308954131e-22
