gena	genb	funchisq	pval
1739	CDK7	RPS6KB1	-0.35595473108077	0.639062766487826
1740	CDK7	SGK1	-0.560799686152685	0.712532949658166
1741	CDK7	SRC	0.13273443387875	0.447201704753425
1742	CDK7	STK11	0.624478659403928	0.266156640551692
1743	CDK7	STK4	2.23278070860233	0.0127817045290828
1744	CDK7	SYK	-0.856844487398767	0.804234582181158
1745	CDK7	TBK1	6.28108050394963	1.68113984653385e-10
1746	CDK7	TTK	1.13357725341678	0.128485959472398
1747	CDK7	ULK1	3.58438561697039	0.000168936296366295
1748	CDK7	VRK1	-0.990495526784567	0.839034012749249
1749	CDK9	ABL1	-0.995091707569109	0.840154168305761
1750	CDK9	ADRBK1	-0.766989561005604	0.778456138926925
1751	CDK9	AKT1	-0.829671455151389	0.796637717693113
1752	CDK9	ATM	-0.0912371583426522	0.536347925010541
1753	CDK9	ATR	-0.55981212018536	0.712196202160896
1754	CDK9	AURKA	-0.635323736043685	0.737391351989677
1755	CDK9	AURKB	-0.342609444559592	0.634053852033086
1756	CDK9	BMX	-0.568515700241602	0.715157576007419
1757	CDK9	BRAF	-1.22853718783993	0.890377310878039
1758	CDK9	BTK	-0.147423602927947	0.558601161690241
1759	CDK9	CAMK1	-0.911888051201185	0.819086173892016
1760	CDK9	CAMK2A	-0.516149160236547	0.69712488242822
1761	CDK9	CAMK2D	-0.534861857357467	0.703627307334147
1762	CDK9	CDC7	0.968584890913234	0.16637617242928
1763	CDK9	CDK1	-0.75170994268465	0.77388724507638
1764	CDK9	CDK2	-0.303894631050161	0.619395915861114
1765	CDK9	CDK4	-0.908422736919528	0.818172541247917
1766	CDK9	CDK5	-1.3355106338275	0.909145361368935
1767	CDK9	CDK7	-0.451597608152753	0.674220553288198
1768	CDK9	CHEK1	-0.980366830276417	0.8365474615921
1769	CDK9	CHEK2	1.09328785183017	0.137133717490912
1770	CDK9	CHUK	-1.0475027226701	0.852566111446507
1771	CDK9	CSNK1A1	-0.528543702946268	0.701438988720813
1772	CDK9	CSNK1D	-0.560988715267036	0.712597384941501
1773	CDK9	CSNK2A1	-0.995091707569109	0.840154168305761
1774	CDK9	DAPK1	0.108284355576268	0.456885066041685
1775	CDK9	DYRK1A	0.112877911717062	0.455063674144925
1776	CDK9	DYRK2	-1.10496246878215	0.865412073957097
1777	CDK9	EGFR	0.0185891277744412	0.492584438059031
1778	CDK9	ERBB2	-0.691236179034611	0.755291434325287
1779	CDK9	FER	-0.477788937025702	0.683599782016715
1780	CDK9	FYN	0.224783386403148	0.411073895545358
1781	CDK9	GRK4	-0.553316670624868	0.709976706135776
1782	CDK9	GSK3B	0.0123999152900037	0.495053276284054
1783	CDK9	HCK	0.758103313219786	0.224194568199266
1784	CDK9	IKBKB	0.284435145270091	0.388038464349939
1785	CDK9	INSR	3.97781545987714	3.47756581458767e-05
1786	CDK9	IRAK1	0.188018819535949	0.425430949208882
1787	CDK9	JAK2	-1.05441723349257	0.854154032200165
1788	CDK9	LATS1	-0.146456538477255	0.558219501415468
1789	CDK9	LCK	-0.469875126270861	0.680777881849993
1790	CDK9	LYN	-0.882569880604326	0.811265646019115
1791	CDK9	MAP2K1	-0.682387539310761	0.752503033579692
1792	CDK9	MAP2K4	-0.00529736415768975	0.502113332653101
1793	CDK9	MAP3K5	1.23584926960323	0.108257298495198
1794	CDK9	MAP3K7	-1.30890024369257	0.904715927962869
1795	CDK9	MAP3K8	-0.219937318989116	0.587040014258692
1796	CDK9	MAPK1	-0.621929893401574	0.73300601616937
1797	CDK9	MAPK11	0.994647277859424	0.159953922397748
1798	CDK9	MAPK14	1.26055776631845	0.103734111510422
